XNSE/MANAKSTEEL_UADJ,Manaksia Steels Ltd. (MANAKSTEEL) Unadjusted Stock Prices
XNSE/ITDCEM_UADJ,ITD Cementation India Ltd. (ITDCEM) Unadjusted Stock Prices
XNSE/SURANAT_P_UADJ,Surana Telecom and Power Ltd. (SURANAT&P) Unadjusted Stock Prices
XNSE/MARALOVER_UADJ,Maral Overseas Ltd. (MARALOVER) Unadjusted Stock Prices
XNSE/KESORAMIND_UADJ,Kesoram Industries Ltd. (KESORAMIND) Unadjusted Stock Prices
XNSE/TRICOM_UADJ,Tricom India Ltd (TRICOM) Unadjusted Stock Prices
XNSE/ZENITHBIR_UADJ,Zenith Birla (India) Ltd (ZENITHBIR) Unadjusted Stock Prices
XNSE/LUMAXAUTO_UADJ,Lumax Automotive Systems Ltd. (LUMAXAUTO) Unadjusted Stock Prices
XNSE/RPPINFRA_UADJ,R.P.P. Infra Projects Limited (RPPINFRA) Unadjusted Stock Prices
XNSE/SURANACORP_UADJ,Surana Corporation Ltd. (SURANACORP) Unadjusted Stock Prices
XNSE/N8RELIFIN_UADJ,Religare Finvest Limited (N8RELIFIN) Unadjusted Stock Prices
XNSE/COMPUSOFT_UADJ,Compucom Software Ltd. (COMPUSOFT) Unadjusted Stock Prices
XNSE/UTVSOF_UADJ,UTV Software Communications Ltd. (UTVSOF) Unadjusted Stock Prices
XNSE/N1MUTHOOTFIN_UADJ,Muthoot Finance Ltd. (N1MUTHOOTFIN) Unadjusted Stock Prices
XNSE/CUBEXTUB_UADJ,Cubex Tubings Ltd. (CUBEXTUB) Unadjusted Stock Prices
XNSE/NBSHRIRAMCIT_UADJ,Shriram City Union Finance Ltd. (NBSHRIRAMCIT) Unadjusted Stock Prices
XNSE/TEXINFRA_UADJ,Texmaco Infrastructure & Holdings Ltd (TEXINFRA) Unadjusted Stock Prices
XNSE/RELCNX100_UADJ,Reliance Nippon Life Asset Management Ltd. (RELCNX100) Unadjusted Stock Prices
XNSE/BAJAJELEC_UADJ,Bajaj Electricals Ltd. (BAJAJELEC) Unadjusted Stock Prices
XNSE/MAHSEAMLES_UADJ,Maharashtra Seamless Ltd. (MAHSEAMLES) Unadjusted Stock Prices
XNSE/REPCOHOME_UADJ,Repco Home Finance Ltd (REPCOHOME) Unadjusted Stock Prices
XNSE/JAICORPLTD_UADJ,Jai Corp Ltd. (JAICORPLTD) Unadjusted Stock Prices
XNSE/ASHOKA_UADJ,Ashoka Buildcon Ltd (ASHOKA) Unadjusted Stock Prices
XNSE/GABRIEL_UADJ,Gabriel India Ltd. (GABRIEL) Unadjusted Stock Prices
XNSE/SUNCLAYLTD_UADJ,Sundaram-Clayton Ltd. (SUNCLAYLTD) Unadjusted Stock Prices
XNSE/NOL_UADJ,National Oxygen Ltd. (NOL) Unadjusted Stock Prices
XNSE/ADHUNIK_UADJ,Adhunik Metaliks Ltd. (ADHUNIK) Unadjusted Stock Prices
XNSE/ESTL_UADJ,Essar Steel Ltd. (ESTL) Unadjusted Stock Prices
XNSE/GANECOS_UADJ,Ganesha Ecosphere Ltd (GANECOS) Unadjusted Stock Prices
XNSE/SITASHREE_UADJ,Sita Shree Food Products Ltd (SITASHREE) Unadjusted Stock Prices
XNSE/MFFTFTF13ADV_UADJ,Franklin Templeton Asset Management (India) Private Limited (MFFTFTF13ADV) Unadjusted Stock Prices
XNSE/IT3RDROCK_UADJ,3rd Rock Multimedia Ltd. (IT3RDROCK) Unadjusted Stock Prices
XNSE/RUCHIRA_UADJ,Ruchira Papers Ltd. (RUCHIRA) Unadjusted Stock Prices
XNSE/REISIXTEN_UADJ,REI Six Ten Retail Ltd (REISIXTEN) Unadjusted Stock Prices
XNSE/MFJ301G_UADJ,JP Morgan Asset Management India Pvt Ltd (MFJ301G) Unadjusted Stock Prices
XNSE/GUFICBIO_UADJ,Gufic Biosciences Ltd. (GUFICBIO) Unadjusted Stock Prices
XNSE/E1ABAN_UADJ,Aban Offshore Ltd. (E1ABAN) Unadjusted Stock Prices
XNSE/COROENGG_UADJ,Coromandel Engineering Co. Ltd. (COROENGG) Unadjusted Stock Prices
XNSE/TARAJEWELS_UADJ,Tara Jewels Ltd (TARAJEWELS) Unadjusted Stock Prices
XNSE/A2ZINFRA_UADJ,A2Z Infra Engineering Ltd. (A2ZINFRA) Unadjusted Stock Prices
XNSE/AHLEAST_UADJ,Asian Hotels (East) Ltd (AHLEAST) Unadjusted Stock Prices
XNSE/WABCOINDIA_UADJ,WABCO India Ltd (WABCOINDIA) Unadjusted Stock Prices
XNSE/KOKUYOCMLN_UADJ,Kokuyo Camlin Ltd (KOKUYOCMLN) Unadjusted Stock Prices
